Player,Cap Hit (M$)
Adam Edstrom,0.975
Henri Jokiharju,3.0
Frank Vatrano,4.571189
Kaiden Guhle,5.55
Barrett Hayton,2.65
Andrew Mangiapane,3.6
J.J. Moser,0.775
Jonatan Berggren,1.825
Justin Sourdif,0.825
Albert Johansson,1.125
Jesper Boqvist,1.5
Nick Bjugstad,1.75
Lars Eller,1.25
Nick Cousins,0.825
Matvei Michkov,0.95
Radko Gudas,4.0
Cam York,0.775
Benjamin Kindel,0.975
Louis Crevier,0.9
Alex Killorn,6.25
Jake Walman,3.4
Brayden Schenn,6.5
Jordan Spence,1.5
Jesperi Kotkaniemi,4.82
Wyatt Kaiser,1.7
Nicolas Roy,3.0
Gustav Nyquist,3.25
Justin Barron,1.15
Conor Timmins,2.2
Josh Anderson,5.5
Kevin Stenlund,2.0
