Player,Team,Roster Status,Status,Cap Hit (M$)
Brandt Clarke,LAK,Minors,MagicFac,0.863334
Jakob Chychrun,WSH,Active,MagicFac,9.0
Evgeni Malkin,PIT,Reserve,MagicFac,6.1
Brad Marchand,FLA,Active,MagicFac,5.25
Oliver Kapanen,MTL,Minors,MagicFac,0.925
Henry Brzustewicz,LAK,Minors,MagicFac,0.775
Lian Bichsel,DAL,Minors,MagicFac,0.918333
Quinton Byfield,LAK,Minors,MagicFac,6.25
Jake McCabe,TOR,Active,MagicFac,4.513102
Darnell Nurse,EDM,Active,MagicFac,9.25
Sergei Bobrovsky,FLA,Active,MagicFac,10.0
Ivan Ryabkin,CAR,Minors,MagicFac,0.918333
Mikko Rantanen,DAL,Active,MagicFac,12.0
Dylan Strome,WSH,Active,MagicFac,5.0
Jagger Firkus,SEA,Minors,MagicFac,0.891666
Alexander Zharovsky,MTL,Minors,MagicFac,0.775
Joey Daccord,SEA,Active,MagicFac,0.775
Akira Schmid,VGK,Minors,MagicFac,0.875
Cole Caufield,MTL,Active,MagicFac,7.85
Dylan Larkin,DET,Active,MagicFac,8.7
Scott Wedgewood,COL,Reserve,MagicFac,1.5
Mitch Marner,VGK,Active,MagicFac,0.775
,,,TOTAL POUR MagicFac,120.86
Zeev Buium,MIN,Minors,Mando18,0.966667
Robert Thomas,STL,Reserve,Mando18,8.125
Seth Jones,FLA,Active,Mando18,9.5
Luke Hughes,NJD,Active,Mando18,9.0
Alexander Romanov,NYI,Active,Mando18,6.25
Jake Guentzel,TBL,Active,Mando18,9.0
Pavel Buchnevich,STL,Reserve,Mando18,8.0
Nathan MacKinnon,COL,Active,Mando18,12.6
Cam Talbot,DET,Reserve,Mando18,2.5
Yaroslav Askarov,SJS,Minors,Mando18,2.0
Mike Matheson,MTL,Active,Mando18,4.875
Elvis Merzlikins,CBJ,Active,Mando18,5.4
Jackson Smith,CBJ,Minors,Mando18,0.775
Brock Nelson,COL,Active,Mando18,7.5
Jake Sanderson,OTT,Reserve,Mando18,8.05
Victor Eklund,NYI,Minors,Mando18,0.975
Sebastian Cossa,DET,Minors,Mando18,0.863334
Macklin Celebrini,SJS,Active,Mando18,0.975
Jeremy Swayman,BOS,Active,Mando18,8.25
Ryker Lee,NSH,Minors,Mando18,0.775
Jack Hughes,NJD,Active,Mando18,8.0
Shane Wright,SEA,Minors,Mando18,0.886666
Artyom Levshunov,CHI,Minors,Mando18,0.975
Leo Carlsson,ANA,Active,Mando18,0.95
Pierre-Luc Dubois,WSH,Inj Res,Mando18,8.5
Mason McTavish,ANA,Minors,Mando18,7.0
,,,TOTAL POUR Mando18,124.19
Dylan Guenther,UTA,Active,Olilapat,7.142875
Connor Bedard,CHI,Active,Olilapat,0.95
Cameron Schmidt,DAL,Minors,Olilapat,0.775
Sascha Boumedienne,WPG,Minors,Olilapat,0.775
Bradly Nadeau,CAR,Minors,Olilapat,0.918333
Dmitry Voronkov,CBJ,Active,Olilapat,0.775
Jacob Fowler,MTL,Minors,Olilapat,0.923333
Cole Hutson,WSH,Minors,Olilapat,0.775
Berkly Catton,SEA,Minors,Olilapat,0.9425
Shane Pinto,OTT,Active,Olilapat,3.75
Joseph Woll,TOR,Inj Res,Olilapat,3.666667
Jack Nesbitt,PHI,Minors,Olilapat,0.775
Jiri Kulich,BUF,Minors,Olilapat,0.886666
Arturs Silovs,PIT,Active,Olilapat,0.85
Daniel Vladar,PHI,Active,Olilapat,0.775
Simon Edvinsson,DET,Active,Olilapat,0.894167
Jackson Blake,CAR,Active,Olilapat,0.905833
Will Cuylle,NYR,Active,Olilapat,0.775
Simon Nemec,NJD,Active,Olilapat,0.918333
Noah Laba,NYR,Minors,Olilapat,0.87
Dylan Holloway,STL,Reserve,Olilapat,2.290457
Bowen Byram,BUF,Active,Olilapat,6.25
Olen Zellweger,ANA,Minors,Olilapat,0.844167
Matvei Michkov,PHI,Reserve,Olilapat,0.95
Denton Mateychuk,CBJ,Active,Olilapat,0.886666
Juraj Slafkovsky,MTL,Reserve,Olilapat,7.6
Artem Zub,OTT,Reserve,Olilapat,0.775
,,,TOTAL POUR Olilapat,44.97
Andrei Vasilevskiy,TBL,Active,Pleka,9.5
Artemi Panarin,NYR,Active,Pleka,11.642857
Connor McDavid,EDM,Active,Pleka,12.5
Vince Dunn,SEA,Reserve,Pleka,7.35
Logan Mailloux,STL,Minors,Pleka,0.875
Leon Draisaitl,EDM,Active,Pleka,14.0
Roope Hintz,DAL,Reserve,Pleka,8.45
