"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*03mbn*","Mackenzie Blackwood","COL","G","1328","DaddyX23","Inj Res","28","NJD Tue 9:00PM","0","0","97%","-0.4%"
"*03uzr*","Matthew Tkachuk","FLA","F","7684","DJCarrot","Inj Res","27","ANA Tue 7:00PM","0","0","93%","-1.4%"
"*01ztp*","Zach Hyman","EDM","F","3685","Pouding_","Inj Res","33","UTA Tue 9:30PM","0","0","91%","-1.2%"
"*04uql*","Cole Perfetti","WPG","F","6070","DJCarrot","Minors","23","@MIN Tue 8:00PM","0","0","69%","-3.3%"
"*02un7*","Aleksander Barkov","FLA","F","1060","Pouding_","Inj Res","30","ANA Tue 7:00PM","0","0","61%","-2.4%"
"*042w1*","Joseph Woll","TOR","G","8242","Olilapat","Inj Res","27","CGY Tue 6:00PM","0","0","59%","-3.4%"
"*06ag2*","James Hagens","BOS","F","3251","Boeuf_","Minors","18","NYI Tue 7:15PM","0","0","39%","-2.6%"
"*06axe*","Gabe Perreault","NYR","F","6078","Bigdawn","Minors","20","@VAN Tue 10:00PM","0","0","39%","-2.7%"
"*06jhd*","Anton Frondell","CHI","F","2840","DJCarrot","Minors","18","OTT Tue 8:45PM","0","0","39%","-2.5%"
"*068yz*","Jacob Fowler","MTL","G","2790","Olilapat","Minors","20","@SEA Tue 10:30PM","0","0","38%","-2.8%"
"*06hj9*","Porter Martone","PHI","F","5069","DJCarrot","Minors","19","PIT Tue 6:00PM","0","0","38%","-2.3%"
"*06fzv*","Cole Hutson","WSH","D","3676","Olilapat","Minors","19","@DAL Tue 8:30PM","0","0","37%","-3%"
"*06jhc*","Tij Iginla","UTA","F","3695","DaddyX23","Minors","19","@EDM Tue 9:30PM","0","0","37%","-3%"
"*06hcq*","Carter Yakemchuk","OTT","D","8276","Fred_Lan","Minors","20","@CHI Tue 8:45PM","0","0","37%","-3.3%"
"*06loq*","Caleb Desnoyers","UTA","F","2262","DaddyX23","Minors","18","@EDM Tue 9:30PM","0","0","36%","-2.6%"
"*06ig3*","Cayden Lindstrom","CBJ","F","4730","Fred_Lan","Minors","19","@BUF Tue 6:45PM","0","0","34%","-2.8%"
"*05ui4*","Dalibor Dvorsky","STL","F","2425","DJCarrot","Minors","20","DET Tue 8:15PM","0","0","33%","-2.7%"
"*05rjy*","Cole Eiserman","NYI","F","2471","Fred_Lan","Minors","19","@BOS Tue 7:15PM","0","0","32%","-2.8%"
"*05w9b*","Calum Ritchie","NYI","F","6579","Doumi","Minors","20","@BOS Tue 7:15PM","0","0","32%","-3.2%"
"*06imm*","Roger McQueen","ANA","F","5266","DaddyX23","Minors","19","@FLA Tue 7:00PM","0","0","32%","-2.7%"
"*05o01*","Sebastian Cossa","DET","G","2021","Mando18","Minors","22","@STL Tue 8:15PM","0","0","31%","-3%"
"*06nkc*","Jake OBrien","SEA","F","5782","DJCarrot","Minors","18","MTL Tue 10:30PM","0","0","30%","-3.1%"
"*05rj2*","Scott Morrow","NYR","D","5500","SamBleau","Minors","22","@VAN Tue 10:00PM","0","0","30%","-2.8%"
"*05mwh*","Devon Levi","BUF","G","4686","Bigdawn","Minors","23","CBJ Tue 6:45PM","0","0","30%","-2.6%"
"*06pyw*","Victor Eklund","NYI","F","2478","Mando18","Minors","19","@BOS Tue 7:15PM","0","0","29%","-2.8%"
"*067yd*","David Reinbacher","MTL","D","6517","SamBleau","Minors","21","@SEA Tue 10:30PM","0","0","29%","-2.6%"
"*058t9*","Seamus Casey","NJD","D","1776","Doumi","Minors","21","@COL Tue 9:00PM","0","0","29%","-4.1%"
"*06pyp*","Radim Mrtka","BUF","D","5522","DaddyX23","Minors","18","CBJ Tue 6:45PM","0","0","28%","-2.8%"
"*064om*","Michael Hage","MTL","F","3247","DaddyX23","Minors","19","@SEA Tue 10:30PM","0","0","27%","-2.7%"
"*05aa0*","Brayden Yager","WPG","F","8275","Fred_Lan","Minors","20","@MIN Tue 8:00PM","0","0","27%","-2.1%"
"*06rqm*","Carter Bear","DET","F","1111","DaddyX23","Minors","18","@STL Tue 8:15PM","0","0","26%","-2.8%"
"*06hcy*","Liam Greentree","LAK","F","3146","Pouding_","Minors","19","@SJS Tue 11:00PM","0","0","26%","-3.1%"
"*06sqf*","Braeden Cootes","VAN","F","1997","DaddyX23","Minors","18","NYR Tue 10:00PM","0","0","25%","-2.9%"
"*06pyk*","Justin Carbonneau","STL","F","1730","Pouding_","Minors","18","DET Tue 8:15PM","0","0","25%","-3%"
"*066q4*","Konsta Helenius","BUF","F","3413","DJCarrot","Minors","19","CBJ Tue 6:45PM","0","0","25%","-2.7%"
"*06hcp*","Anton Silayev","NJD","D","7110","Fred_Lan","Minors","19","@COL Tue 9:00PM","0","0","24%","-2%"
"*06h8h*","Trevor Connelly","VGK","F","1979","Pouding_","Minors","19","@CAR Tue 6:30PM","0","0","24%","-2.4%"
"*06nke*","Jackson Smith","CBJ","D","7219","Mando18","Minors","18","@BUF Tue 6:45PM","0","0","24%","-2.2%"
"*06sn9*","Kashawn Aitcheson","NYI","D","797","Bigdawn","Minors","19","@BOS Tue 7:15PM","0","0","23%","-2.1%"
"*06maz*","Ilya Protas","WSH","F","6354","Pouding_","Minors","19","@DAL Tue 8:30PM","0","0","23%","-3.3%"
"*06spu*","Alexander Zharovsky","MTL","F","8373","MagicFac","Minors","18","@SEA Tue 10:30PM","0","0","22%","-2.8%"
"*06jhe*","Cole Reschny","CGY","F","6532","Fred_Lan","Minors","18","@TOR Tue 6:00PM","0","0","22%","-2.1%"
"*06snc*","Jack Nesbitt","PHI","F","5657","Olilapat","Minors","18","PIT Tue 6:00PM","0","0","19%","-2.4%"
"*05yn1*","Jagger Firkus","SEA","F","2688","MagicFac","Minors","21","MTL Tue 10:30PM","0","0","19%","-1.9%"
"*06snd*","Lynden Lakovic","WSH","F","4474","Doumi","Minors","18","@DAL Tue 8:30PM","0","0","18%","-2.1%"
"*06rut*","Cameron Reid","NSH","D","6507","Fred_Lan","Minors","18","TBL Tue 7:45PM","0","0","17%","-1.9%"
"*06pyr*","Cullen Potter","CGY","F","6303","Boeuf_","Minors","18","@TOR Tue 6:00PM","0","0","16%","-2.1%"
"*06pyz*","Bill Zonnon","PIT","F","8395","SamBleau","Minors","19","@PHI Tue 6:00PM","0","0","15%","-1.7%"
"*064n0*","Malcolm Spence","NYR","F","7296","Boeuf_","Minors","19","@VAN Tue 10:00PM","0","0","15%","-1.3%"
"*06lop*","Ivan Ryabkin","CAR","F","6734","MagicFac","Minors","18","VGK Tue 6:30PM","0","0","15%","-1.8%"
"*06loc*","Yegor Surin","NSH","F","7500","Pleka","Minors","19","TBL Tue 7:45PM","0","0","15%","-1.8%"
"*06pyi*","Logan Hensler","OTT","D","3454","Doumi","Minors","19","@CHI Tue 8:45PM","0","0","15%","-1.6%"
"*06lor*","Sascha Boumedienne","WPG","D","1427","Olilapat","Minors","18","@MIN Tue 8:00PM","0","0","14%","-1.2%"
"*06sqm*","Ryker Lee","NSH","F","4620","Mando18","Minors","18","TBL Tue 7:45PM","0","0","14%","-2.2%"
"*06axx*","William Horcoff","PIT","F","3586","Bigdawn","Minors","18","@PHI Tue 6:00PM","0","0","14%","-1.8%"
"*05yfk*","Mikhail Gulyayev","COL","D","3199","SamBleau","Minors","20","NJD Tue 9:00PM","0","0","13%","-1.3%"
"*06pys*","Cameron Schmidt","DAL","F","6910","Olilapat","Minors","18","WSH Tue 8:30PM","0","0","13%","-1.4%"
"*06sqp*","Vaclav Nestrasil","CHI","F","5661","SamBleau","Minors","18","OTT Tue 8:45PM","0","0","11%","-1.3%"
"*06sqq*","Henry Brzustewicz","LAK","D","1583","MagicFac","Minors","18","@SJS Tue 11:00PM","0","0","11%","-1.2%"
"*06cfs*","Florian Xhekaj","MTL","F","8273","DaddyX23","Minors","21","@SEA Tue 10:30PM","0","0","7%","-1.5%"
"*06sq9*","Cooper Simpson","BOS","F","7132","Pouding_","Minors","18","NYI Tue 7:15PM","0","0","5%","-1%"
"*05tqu*","Logan Mailloux","STL","D","8416","Pleka","Minors","22","DET Tue 8:15PM","-0.5","-0.08","38%","-4.6%"
