"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*064r2*","Ivan Demidov","MTL","F","150","DJCarrot","Reserve","19","","74","4.93","96%","+0.1%","15","4","9","5","18","5","0","4","7"
"*04ld3*","Noah Dobson","MTL","D","151","DaddyX23","Active","25","","74","4.93","96%","+0.4%","15","1","10","7","26","1","0","5","30"
"*042vx*","Filip Hronek","VAN","D","152","Doumi","Active","28","","74","4.35","69%","+0.9%","17","0","9","2","21","3","0","36","24"
"*06cl1*","Emmitt Finnie","DET","F","160","Pleka","Minors","20","","72.5","4.53","55%","-5%","16","4","4","5","27","1","0","29","12"
"*01zvf*","Mark Stone","VGK","F","164","Fred_Lan","Inj Res","33","FLA Mon 10:00PM","72","12","92%","+0.1%","6","2","11","2","19","8","1","3","5"
"*01f3e*","Nazem Kadri","CGY","F","162","SamBleau","Reserve","35","","72","4.24","87%","+0.2%","17","4","7","-9","51","4","0","11","6"
"*05ltj*","Brock Faber","MIN","D","161","Pouding_","Active","23","","72","4.24","84%","+8.3%","17","3","6","-6","39","4","0","6","33"
"*05gd8*","Mason McTavish","ANA","F","168","Mando18","Minors","22","","71.5","4.77","80%","-1.1%","15","3","8","3","25","2","0","19","9"
"*04o0g*","Marco Rossi","MIN","F","169","Boeuf_","Reserve","24","","71.5","4.47","79%","+0.7%","16","4","9","-6","27","5","0","11","8"
"*06hcw*","Beckett Sennecke","ANA","F","170","Fred_Lan","Reserve","19","","71.5","4.77","54%","-0.4%","15","6","5","1","25","2","0","14","6"
"*05tv0*","Jackson Blake","CAR","F","166","Olilapat","Active","22","","71.5","4.77","49%","+0.1%","15","4","7","4","39","2","0","3","5"
"*03de2*","Brandon Montour","SEA","D","171","DaddyX23","Active","31","","71","6.45","95%","+0.3%","11","3","6","4","31","2","0","12","19"
"*02azf*","Dougie Hamilton","NJD","D","177","Fred_Lan","Reserve","32","NYI Mon 7:00PM","70","5","93%","-0.3%","14","4","3","1","35","4","0","15","18"
"*05r1l*","William Eklund","SJS","F","175","Doumi","Minors","23","","70","5.83","87%","-0.8%","12","5","6","-5","31","5","0","8","10"
"*05r50*","Mackie Samoskevich","FLA","F","182","Boeuf_","Active","22","@VGK Mon 10:00PM","69.5","4.63","53%","-0.2%","15","2","7","1","32","5","0","22","6"
"*03rf2*","Roope Hintz","DAL","F","184","Pleka","Reserve","28","","69","6.27","94%","-0.3%","11","3","8","-3","36","6","0","7","5"
"*051yz*","Dylan Holloway","STL","F","191","Olilapat","Reserve","24","","68","4.25","85%","-1.8%","16","3","4","-7","35","1","0","44","14"
"*04abd*","Artem Zub","OTT","D","193","Olilapat","Reserve","30","","68","4.25","43%","+1.8%","16","2","7","4","22","0","0","20","24"
"*05r3d*","Josh Doan","BUF","F","196","Fred_Lan","Minors","23","","67","4.47","51%","-0.2%","15","4","5","-2","41","3","0","15","3"
"*02wy5*","Nikita Zadorov","BOS","D","200","SamBleau","Reserve","30","","66","3.88","48%","-1.8%","17","1","3","2","15","0","0","62","23"
"*025me*","Brenden Dillon","NJD","D","199","DaddyX23","Active","34","NYI Mon 7:00PM","66","4.4","37%","-0.6%","15","2","4","2","12","0","1","39","30"
"*02noe*","Morgan Rielly","TOR","D","201","SamBleau","Active","31","","65.5","4.37","95%","-0.5%","15","2","11","-4","28","1","0","8","14"
"*04lc0*","Evan Bouchard","EDM","D","202","Boeuf_","Active","26","CBJ Mon 8:30PM","65","4.06","99%","0%","16","2","8","-11","45","4","0","6","21"
"*03as8*","Nikolaj Ehlers","CAR","F","205","Pouding_","Reserve","29","","65","4.33","85%","-1.7%","15","2","7","3","44","3","0","6","3"
"*05tcz*","Oliver Kapanen","MTL","F","206","MagicFac","Minors","22","","65","4.33","33%","0%","15","6","4","3","20","0","1","8","9"
"*051m4*","Jackson LaCombe","ANA","D","210","Pouding_","Active","24","","64","4.27","94%","+0.2%","15","0","6","3","31","4","0","15","28"
"*05rf2*","Logan Stankoven","CAR","F","211","Bigdawn","Minors","22","","64","4.27","65%","-0.6%","15","5","4","6","31","0","0","6","5"
